"","id","clan","disturbance","sex","birthdate","date","am_pm","age","rank_level","dur_total","t_closest","closest_dist","dist_notice","bold2","AvgMinDist","AvgRankDist","box_lat","box_closest","box_tot","novel_lat","novel_closest","novel_tot","twin30m","proptwin30m","surv","longevity","exploration"
"15","brph","south","low","f",2009-07-11,2013-09-01,"pm","adult","mid",571,35,10,30,"bold",NA,NA,NA,NA,NA,NA,NA,NA,931,1.63047285464098,1,7.19178082191781,1
"16","buar","talek","high","f",2009-12-18,2013-09-14,"am","adult","high",220,96,50,100,"neutral",33.3,0.185908144106085,NA,NA,NA,NA,NA,NA,0,0,0,6.02739726027397,0
"17","cart","talek","high","f",2005-12-07,2013-10-22,"pm","adult","low",394,164,4,140,"fearful",35,0.234477124183007,NA,NA,NA,NA,NA,NA,123,0.312182741116751,0,9.88493150684931,1
"18","chco","talek","high","f",2013-01-22,2014-05-18,"pm","sub","low",587,178,0.5,49,"bold",30,0.0714285714285714,NA,NA,NA,NA,NA,NA,247,0.420783645655877,0,2.93150684931507,3
"19","chle","talek","high","m",2012-10-04,2013-12-03,"pm","sub","high",551,309,9,70,"neutral",90,0.136363636363636,NA,5,3.267106534,0.20665,0,1.684003368,245,0.44464609800363,1,3.47671232876712,1
"20","crim","north","low","f",2012-09-18,2014-04-29,"pm","sub","high",356,356,45,45,"neutral",45,0.617647058823529,0.116666667,0,8.285683238,0.39035,0,10.56927114,0,0,0,4.77808219178082,0
"21","crms","talek","high","f",2010-12-19,2013-12-26,"pm","adult","high",374,374,50,50,"neutral",20.3333333333333,0.189644698960107,NA,NA,NA,NA,NA,NA,0,0,1,3.28493150684932,0
"22","ddma","talek","high","m",NA,2013-12-01,"am","adult","immigrant",570,191,4,60,"bold",69.1666666666667,0.300091575091575,NA,NA,NA,NA,NA,NA,224,0.392982456140351,0,NA,1
"23","digs","north","low","f",2007-10-25,2013-06-21,"am","adult","high",450,373,10,70,"bold",44.3333333333333,0.220719157228109,NA,NA,NA,NA,NA,NA,191,0.424444444444444,0,7.43561643835616,1
"24","ema","north","low","f",2004-11-02,2013-08-07,"pm","adult","low",377,377,70,70,"neutral",35,0.342305037957212,NA,NA,NA,NA,NA,NA,0,0,1,11.3671232876712,0
"25","endr","talek","high","m",2010-11-01,2012-07-28,"pm","sub","high",867,522,3,80,"bold",55,0.455952380952381,NA,NA,NA,NA,NA,NA,309,0.356401384083045,1,3.4027397260274,1
"26","erem","hz","low","f",2011-09-26,2014-02-02,"pm","adult","high",763,300,0.5,50,"bold",73.1666666666667,0.378077940577941,NA,NA,NA,NA,NA,NA,568,0.744429882044561,0,5.76164383561644,2
"27","ffl","talek","high","f",2003-06-28,2013-07-10,"am","adult","low",341,165,8,30,"fearful",39,0.349085206364955,NA,NA,NA,NA,NA,NA,201,0.589442815249267,0,12.5068493150685,1
"28","fuzz","north","low","f",2011-08-27,2013-06-20,"pm","sub","mid",402,22,9,10,"fearful",19.5,0.274404761904762,NA,NA,NA,NA,NA,NA,253,0.629353233830846,0,5.84109589041096,1
"29","fxtr","talek","high","f",2011-10-16,2013-07-10,"am","sub","mid",636,355,7,80,"bold",NA,NA,NA,NA,NA,NA,NA,NA,245,0.385220125786164,1,4.56712328767123,1
"30","gaza","talek","high","m",2010-08-06,2012-07-18,"pm","adult","immigrant",533,287,4,150,"bold",84.2857142857143,0.360243328100471,NA,NA,NA,NA,NA,NA,456,0.855534709193246,0,5.39452054794521,1
"31","gel","talek","high","f",2009-01-05,2014-05-18,"pm","adult","mid",807,279,49,60,"neutral",48.4285714285714,0.430929189857761,NA,NA,NA,NA,NA,NA,0,0,0,6.95342465753425,0
"32","gobe","north","low","m",2012-08-10,2014-04-16,"pm","sub","low",843,546,0.5,75,"bold",101.666666666667,0.65,16.48333333,0,12.24622449,7.733333333,0,5.8083,509,0.603795966785291,0,4.64657534246575,2
"33","goof","talek","high","f",2012-11-12,2014-01-08,"pm","sub","high",320,320,90,90,"neutral",40,0.368421052631579,NA,NA,NA,NA,NA,NA,0,0,0,2.95068493150685,0
"34","hel","talek","high","f",2006-02-01,2013-10-19,"pm","adult","high",481,481,80,80,"neutral",26.12,0.259902273165431,NA,NA,NA,NA,NA,NA,0,0,0,9.90958904109589,0
"35","hkr","north","low","f",2008-10-30,2013-06-20,"pm","sub","high",318,234,0,30,"attack",32.7142857142857,0.219960157976234,NA,NA,NA,NA,NA,NA,323,1.01572327044025,0,6.32328767123288,4
"36","hucn","north","low","m",2011-09-12,2013-10-02,"am","sub","mid",726,115,2,80,"bold",34,0.383928571428571,NA,NA,NA,NA,NA,NA,330,0.454545454545455,1,1.15342465753425,1
"37","hwk","hz","low","f",2007-08-15,2013-08-24,"pm","adult","mid",383,36,4,40,"bold",46.5,0.257371794871795,NA,NA,NA,NA,NA,NA,253,0.660574412532637,0,9.84657534246575,1
"38","jd","south","low","m",2009-08-09,2013-08-25,"am","sub","mid",258,88,5,80,"fearful",125.5,0.297619047619048,NA,NA,NA,NA,NA,NA,154,0.596899224806202,0,4.04657534246575,1
"39","juno","talek","high","f",2008-04-20,2012-07-18,"am","adult","high",288,95,40,200,"neutral",57.15,0.293538703943116,NA,NA,NA,NA,NA,NA,0,0,0,7.59178082191781,0
"40","lamu","talek","high","m",2011-03-26,2013-11-25,"am","adult","immigrant",281,142,4,60,"bold",78.75,0.394196428571429,NA,NA,NA,NA,NA,NA,62,0.220640569395018,1,5.11506849315068,1
"41","logc","north","low","f",2010-02-11,2013-08-20,"am","adult","high",183,41,6,60,"neutral",50,0.374124649859944,NA,NA,NA,NA,NA,NA,104,0.568306010928962,1,5.64109589041096,1
"42","loki","talek","high","f",2008-04-20,2013-07-09,"am","adult","high",206,106,5,80,"bold",22.6363636363636,0.218400862422602,NA,NA,NA,NA,NA,NA,86,0.41747572815534,1,5.97534246575342,1
"43","lpr","north","low","m",NA,2013-06-24,"pm","adult","immigrant",341,127,10,120,"neutral",57.2857142857143,0.314029089896828,NA,NA,NA,NA,NA,NA,134,0.392961876832845,0,NA,1
"44","lust","talek","high","f",2011-09-06,2013-11-30,"am","sub","low",601,375,18,60,"bold",20.75,0.465659340659341,NA,NA,NA,NA,NA,NA,135,0.224625623960067,0,4.30958904109589,1
"45","lyco","talek","high","f",2013-03-26,2014-05-16,"pm","sub","low",404,404,75,75,"neutral",40,0.0454545454545455,NA,NA,NA,NA,NA,NA,0,0,0,2.68219178082192,0
"46","malo","hz","low","m",2011-12-27,2013-09-05,"am","sub","mid",264,146,0,100,"bold",60,0.0555555555555556,NA,NA,NA,NA,NA,NA,206,0.78030303030303,1,1.78082191780822,3
"47","mchl","north","low","m",2012-11-17,2014-03-20,"pm","sub","low",397,180,8,45,"bold",NA,NA,0.066666667,0,0.387334108,1.738683333,0,14.56204579,260,0.654911838790932,0,3.78904109589041,1
"48","mgta","talek","high","f",2009-01-10,2013-07-17,"am","adult","high",392,83,6,80,"bold",34.2727272727273,0.23157474762946,NA,NA,NA,NA,NA,NA,208,0.530612244897959,0,6.96712328767123,1
"49","mork","ft","low","m",2007-04-10,2013-07-12,"pm","adult","immigrant",151,73,28,50,"neutral",42.7142857142857,0.379462047977086,NA,NA,NA,NA,NA,NA,39,0.258278145695364,1,3.79452054794521,1
"50","mos","talek","high","f",2003-02-18,2012-06-30,"pm","adult","high",379,69,0,80,"attack",48.5,0.270639922202422,NA,NA,NA,NA,NA,NA,334,0.881266490765171,1,10.2438356164384,3
"51","mt","talek","high","f",2009-12-25,2012-06-23,"am","sub","mid",1035,105,4,100,"bold",57.5,0.278075087014211,NA,NA,NA,NA,NA,NA,455,0.439613526570048,1,4.2986301369863,1
"52","mtn","south","low","f",2005-09-01,2014-05-01,"pm","adult","low",590,100,0.5,25,"bold",66.6666666666667,0.5,NA,NA,NA,NA,NA,NA,587,0.994915254237288,0,11.8328767123288,2
"53","muon","hz","low","f",2011-10-13,2014-02-22,"am","sub","low",1470,75,14,60,"bold",32.4,0.333333333333333,NA,NA,NA,NA,NA,NA,866,0.589115646258503,0,5.69315068493151,1
"54","nali","south","low","m",2011-11-04,2014-02-10,"am","sub","high",1838,1300,13,130,"bold",NA,NA,NA,5,16.20786575,NA,5,7.363898061,385,0.209466811751904,0,5.62465753424657,1
"55","natg","hz","low","m",2011-12-17,2014-02-02,"pm","sub","low",993,90,6,90,"bold",60,0.428571428571429,NA,NA,NA,NA,NA,NA,476,0.479355488418933,1,4.0986301369863,1
"56","nav","talek","high","f",1992-11-07,2013-07-27,"am","adult","low",208,58,40,80,"neutral",42.0769230769231,0.295420284367653,NA,NA,NA,NA,NA,NA,0,0,1,23.7150684931507,0
"57","nzth","talek","high","m",NA,2012-07-14,"am","adult","immigrant",206,17,0,30,"bold",5,1,NA,NA,NA,NA,NA,NA,203,0.985436893203884,1,NA,3
"58","obam","talek","high","f",2008-11-13,2013-10-07,"am","adult","low",265,265,60,110,"neutral",69,0.289814814814815,NA,NA,NA,NA,NA,NA,0,0,1,5.41369863013699,0
"59","odd","talek","high","f",2012-01-03,2013-09-14,"pm","sub","high",673,196,20,80,"bold",36.6666666666667,0.266666666666667,NA,NA,NA,NA,NA,NA,218,0.323922734026746,0,3.90958904109589,1
"60","omha","hz","low","m",NA,2013-06-25,"am","adult","immigrant",470,321,7.5,100,"bold",53.5,0.361111111111111,NA,NA,NA,NA,NA,NA,118,0.251063829787234,0,NA,1
"61","pant","talek","high","m",2010-12-21,2013-07-16,"am","sub","high",331,331,55,60,"neutral",36,0.233066239316239,NA,NA,NA,NA,NA,NA,0,0,1,3.04383561643836,0
"62","parc","talek","high","f",2008-07-22,2013-07-31,"am","adult","mid",407,90,8,80,"bold",24.2307692307692,0.212324239360438,NA,NA,NA,NA,NA,NA,231,0.567567567567568,0,7.36164383561644,1
"63","pene","talek","high","m",2010-04-03,2013-10-06,"am","sub","mid",357,242,20,120,"bold",85.6,0.251328210309904,NA,NA,NA,NA,NA,NA,130,0.364145658263305,1,6.62465753424657,1
"64","pert","talek","high","m",NA,2012-07-21,"pm","adult","immigrant",485,170,3,80,"bold",100,0.5,NA,NA,NA,NA,NA,NA,303,0.624742268041237,1,NA,1
"65","pike","hz","low","f",2007-10-30,2014-02-23,"pm","adult","high",933,412,4,60,"bold",39.3,0.315842490842491,NA,NA,NA,NA,NA,NA,666,0.713826366559486,0,9.66849315068493,1
"66","ratc","north","low","m",2011-05-26,2014-02-19,"pm","sub","low",464,284,0.5,60,"bold",54,0.392857142857143,NA,NA,NA,NA,NA,NA,264,0.568965517241379,0,3.81369863013699,2
"67","reb","talek","high","f",2011-06-16,2013-12-09,"am","sub","mid",441,124,3,100,"bold",12.6666666666667,0.217311673833413,NA,5,0.076166819,NA,5,2.314671296,219,0.496598639455782,1,2.67671232876712,1
"68","rh","south","low","f",NA,2013-10-03,"am","adult","low",235,235,70,70,"neutral",58.5,0.625,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"69","sau","north","low","f",NA,2013-06-19,"pm","adult","mid",456,267,0.5,70,"bold",32.5,0.187888198757764,NA,NA,NA,NA,NA,NA,256,0.56140350877193,0,NA,3
"70","saw","hz","low","f",NA,2013-06-27,"pm","adult","high",526,397,1,120,"bold",36.6666666666667,0.232600732600733,NA,NA,NA,NA,NA,NA,174,0.330798479087452,0,NA,2
"71","shrm","north","low","f",2003-10-26,2013-06-16,"am","adult","high",285,163,2,50,"neutral",48.9,0.234414200462794,NA,NA,NA,NA,NA,NA,126,0.442105263157895,1,12.9232876712329,1
"72","silk","hz","low","f",NA,2014-02-19,"am","adult","low",372,122,12,75,"fearful",51.5,0.306868131868132,NA,NA,NA,NA,NA,NA,121,0.325268817204301,0,NA,1
"73","slin","south","low","f",2009-01-09,2014-03-19,"am","adult","high",982,271,24,60,"bold",54,0.214285714285714,NA,NA,NA,NA,NA,NA,195,0.19857433808554,0,8.4054794520548,1
"74","spng","talek","high","m",2012-11-03,2014-05-10,"am","sub","high",540,296,12,70,"bold",15,0.157894736842105,0.283333333,0,2.757672182,0.1305,0,3.564007128,135,0.25,1,2.16164383561644,1
"75","star","south","low","m",2012-07-22,2014-02-05,"pm","sub","mid",300,300,60,60,"bold",NA,NA,7.383333333,0,9.197418395,5.246666667,0,5.76501153,0,0,0,4.93972602739726,0
"76","swil","talek","high","f",2010-03-30,2012-06-21,"pm","sub","low",204,85,20,75,"fearful",70,0.402380952380952,NA,NA,NA,NA,NA,NA,126,0.617647058823529,1,2.86301369863014,1
"77","tero","north","low","f",2011-02-16,2013-09-30,"pm","sub","low",736,318,7,50,"bold",53.2,0.432072829131653,NA,NA,NA,NA,NA,NA,277,0.376358695652174,0,6.37260273972603,1
"78","thy","south","low","m",2010-11-22,2014-02-18,"pm","sub","mid",491,127,28,50,"neutral",NA,NA,NA,NA,NA,NA,NA,NA,364,0.741344195519348,1,3.36438356164384,1
"79","tilt","talek","high","f",2008-07-20,2013-10-11,"am","adult","mid",327,81,15,80,"bold",60.2857142857143,0.497619047619048,NA,NA,NA,NA,NA,NA,115,0.351681957186544,0,7.36712328767123,1
"80","titn","talek","high","m",2010-10-25,2013-10-26,"pm","sub","high",399,399,65,70,"neutral",7,0.104166666666667,NA,NA,NA,NA,NA,NA,0,0,1,3.1013698630137,0
"81","tnsl","north","low","f",2006-08-20,2013-09-29,"am","adult","low",92,92,55,75,"neutral",71.6666666666667,0.391446433645922,NA,NA,NA,NA,NA,NA,0,0,0,7.81643835616438,0
"82","toro","north","low","m",NA,2014-04-16,"pm","adult","immigrant",319,126,2,80,"neutral",45,0.30406162464986,NA,NA,NA,NA,NA,NA,125,0.391849529780564,1,NA,1
"83","trni","north","low","m",2012-07-04,2014-05-05,"pm","sub","high",616,241,9.5,70,"bold",43.2857142857143,0.378571428571429,NA,0,4.907676482,NA,5,6.526179719,371,0.602272727272727,1,3.98356164383562,1
"84","trot","south","low","m",2007-06-01,2013-06-22,"pm","adult","immigrant",545,395,4,50,"bold",72.5,0.461607142857143,NA,NA,NA,NA,NA,NA,318,0.58348623853211,0,8.96986301369863,1
"85","tru","south","low","f",2007-10-01,2014-02-08,"pm","adult","low",487,82,45,60,"neutral",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,9.74520547945206,0
"86","twst","talek","high","f",2011-03-03,2013-07-28,"am","sub","high",332,76,45,70,"fearful",33.625,0.184761117505683,NA,NA,NA,NA,NA,NA,0,0,0,4.79452054794521,0
"87","tylr","south","low","m",NA,2013-08-23,"pm","adult","immigrant",299,55,7,60,"bold",225,0.833333333333333,NA,NA,NA,NA,NA,NA,180,0.602006688963211,0,NA,1
"88","vail","south","low","m",NA,2014-02-05,"am","adult","immigrant",633,408,15,60,"bold",NA,NA,NA,NA,NA,NA,NA,NA,324,0.511848341232227,0,NA,1
"89","wafl","north","low","f",2007-09-06,2014-02-07,"pm","adult","high",725,170,6,120,"bold",57,0.292170868347339,NA,NA,NA,NA,NA,NA,137,0.188965517241379,0,9.82191780821918,1
"90","wstr","hz","low","m",NA,2014-02-26,"am","adult","immigrant",315,74,14,55,"fearful",38,0.371428571428571,NA,NA,NA,NA,NA,NA,49,0.155555555555556,1,NA,1
"91","xena","talek","high","m",2011-11-25,2013-07-09,"am","sub","high",238,60,5,30,"bold",78.75,0.502747252747253,NA,5,1.85510371,0.096333333,0,15.03419674,152,0.638655462184874,1,2.94246575342466,1
"92","yog","talek","high","f",2001-11-20,2013-07-13,"am","adult","mid",346,126,25,100,"fearful",47.1739130434783,0.30319519865958,NA,NA,NA,NA,NA,NA,64,0.184971098265896,0,14.1123287671233,1
"93","ziti","talek","high","m",2010-04-03,2012-07-15,"am","sub","mid",405,315,18.3,60,"fearful",71.8888888888889,0.262676619083942,NA,NA,NA,NA,NA,NA,83,0.204938271604938,0,5.73972602739726,1
